id,error_count
1287937,2
1325382,22
1342694,0
1293184,15
1354667,1
1127783,5
1194032,0
1246770,18
1330026,1
1201223,0
1109857,0
1357622,1
1203004,1
1374420,1
1158764,0
1377954,0
1212850,14
1307723,0
1316412,1
1390034,0
1329324,1
1145302,0
1282936,2
1396224,0
1280842,0
1084644,4
1361744,0
1328048,0
1411814,1
1122591,11
1262768,4
1128961,0
1069281,0
1233920,4
1159746,5
1407161,0
1072112,0
1215854,0
1234889,0
1346509,2
1387505,0
1062417,0
1298982,28
1408509,0
1114448,12
1135727,1
1131505,4
1209011,2
1205639,0
1308396,14
1245902,24
1195675,10
1184353,3
1375086,0
1213679,2
1151257,4
1093421,3
1051617,0
1173775,0
1125476,3
1300776,12
1174287,1
1294319,3
1395210,0
1216788,0
1307329,24
1160473,2
1065703,1
1200004,13
1250737,0
1159062,0
1355142,0
1137743,1
1181305,2
1393538,0
1190385,1
1203102,0
1269624,1
1114904,2
1107554,0
1150194,2
1163931,9
1146917,1
1093366,7
1182236,1
1382912,0
1114216,0
1062325,0
1346825,0
1172484,8
1317980,0
1364609,0
1113742,0
1143823,0
1323889,2
1089949,0
1194096,0
1145737,4
1097691,3
1123690,1
1363917,0
1239823,2
1188071,0
1372370,0
1217878,6
1117051,8
1367032,0
1051378,0
1274737,1
1334039,0
1316782,9
1140992,1
1249433,5
1379652,1
1095149,0
1091754,23
1091499,2
1182971,3
1151886,1
1166814,13
1368947,0
1381075,0
1054793,0
1147590,10
1406999,0
1409694,1
1397079,0
1305124,5
1288467,1
1394995,1
1122147,3
1225145,1
1361367,0
1174158,4
1373836,1
1061701,2
1343664,0
1245959,0
1271569,0
1161825,6
1122432,0
1124730,4
1328994,0
1226359,7
1242357,12
1319301,0
1394540,0
1175641,0
1059491,0
1056636,0
1091832,0
1330511,1
1314361,4
1096094,0
1118696,4
1150856,0
1141159,1
1100906,2
1177208,0
1209556,0
1056879,3
1215938,0
1080526,0
1072657,0
1326114,1
1209086,5
1216439,0
1394258,0
1141381,8
1157609,1
1254560,9
1103130,0
1050117,0
1173862,4
1115967,1
1268714,0
1180072,0
1164542,0
1366444,1
1294586,0
1178781,3
1215171,0
1108206,2
1394961,0
1374835,0
1072085,0
1409228,0
1137625,2
1292658,2
1375160,1
1179269,0
1346969,0
1201629,13
1313250,3
1065626,0
1103210,1
1111418,0
1345376,0
1162540,1
1336866,1
1156603,7
1159254,0
1382256,0
1058808,7
1064761,0
1054433,1
1308866,1
1097824,2
1353235,0
1370486,0
1277872,1
1091867,4
1282510,2
1131204,11
1202494,0
1147278,0
1131211,1
1269902,0
1292861,3
1200211,0
1092461,17
1176421,0
1079354,0
1068290,0
1187143,4
1054315,0
1139935,3
1094876,0
1305003,0
1075632,0
1206132,2
1144214,3
1332426,1
1057168,0
1319059,12
1137906,0
1411608,0
1243907,2
1360912,0
1348100,0
1051917,3
1235403,2
1363095,0
1324706,0
1183372,6
1283162,0
1065079,0
1219836,0
1187036,0
1159928,0
1266975,5
1366547,0
1141983,6
1229189,3
1389638,0
1272312,3
1091705,0
1184003,0
1066688,0
1191305,4
1370500,0
1303320,0
1385889,2
1055666,0
1224443,3
1050246,1
1357090,0
1268840,8
1119584,15
1110684,6
1215753,2
1131706,0
1318571,7
1277836,34
1376555,0
1394245,2
1143004,4
1106657,0
1086568,0
1316299,0
1266811,0
1366183,0
1230434,3
1112658,0
1232464,12
1195249,0
1095620,0
1163777,2
1053063,1
1305907,0
1401385,0
1169142,2
1298112,1
1276099,0
1118966,3
1324735,1
1245414,2
1096547,2
1187661,0
1234761,2
1243771,0
1225156,8
1133202,2
1401245,1
1272367,1
1404166,1
1111597,0
1066676,2
1156569,0
1331469,0
1243290,6
1408425,0
1100951,0
1325325,0
1241262,0
1318897,0
1103013,0
1370462,0
1230774,0
1388569,0
1131853,6
1126677,1
1098132,7
1232943,1
1285144,0
1300154,8
1182291,0
1328053,0
1168682,0
1402448,1
1328636,1
1335157,2
1229062,1
1078370,0
1355087,0
1089385,0
1335729,0
1146058,11
1227323,7
1220668,2
1310566,1
1120767,1
1234169,5
1331816,0
1389414,0
1346172,0
1355372,0
1131398,11
1099253,2
1360241,0
1374597,0
1104163,5
1119542,0
1307794,0
1418433,0
1245434,1
1386864,0
1117982,1
1274659,1
1187890,0
1092435,5
1211647,8
1310712,38
1085043,2
1364278,0
1247687,6
1179715,0
1111871,5
1116570,2
1381612,0
1232518,2
1080373,2
1064345,0
1199101,1
1136121,1
1119317,2
1341841,0
1159432,2
1333154,2
1085236,0
1192174,1
1372244,0
1227811,0
1110713,0
1177825,17
1137675,0
1133102,0
1352955,1
1366233,1
1398331,0
1151073,0
1175914,0
1392256,0
1242514,0
1351124,1
1332547,4
1195300,5
1053428,0
1276861,36
1260040,9
1266281,2
1344139,1
1411661,1
1305642,5
1344681,0
1185618,33
1410124,1
1328049,5
1348636,0
1162641,0
1186726,12
1256342,3
1207824,2
1281369,11
1302829,0
1397060,1
1118842,2
1379699,0
1103065,1
1276119,55
1318529,1
1412057,1
1083321,5
1301481,0
1172749,0
1183739,2
1225653,1
1417916,0
1232794,2
1325916,0
1091442,0
1208107,0
1135100,0
1410244,0
1386150,0
1377049,1
1338079,1
1165389,5
1184444,0
1352522,1
1287290,1
1297038,7
1229249,1
1315406,0
1330535,1
1172512,2
1179698,2
1148608,5
1220049,4
1160698,8
1099080,0
1169664,1
1059733,0
1347000,0
1062649,0
1327708,4
1417074,3
1375533,0
1216051,0
1177561,1
1093585,1
1253365,3
1401401,3
1181034,0
1048956,0
1385935,0
1335441,0
1318018,1
1314580,1
1266462,1
1320247,15
1048651,0
1119842,1
1058726,2
1363730,1
1306235,0
1110129,6
1245326,1
1345979,0
1129473,4
1338764,1
1064285,0
1226121,7
1056173,0
1302927,0
1107827,0
1314537,2
1202918,17
1363822,0
1151905,0
1280665,0
1057029,0
1059423,0
1231942,1
1289798,0
1133448,3
1236970,1
1173094,0
1127619,10
1203424,2
1237659,0
1142173,0
1297079,0
1314902,1
1092430,3
1262906,1
1099054,3
1049930,0
1050200,1
1090963,0
1414839,0
1296427,1
1257732,3
1052648,0
1303607,0
1356815,0
1163713,4
1193800,1
1115261,1
1134155,0
1183649,0
1075328,0
1258204,0
1082928,9
1071880,0
1053155,0
1400701,0
1377437,0
1221245,9
1080605,0
1275808,0
1304220,0
1054819,0
1330720,0
1256154,0
1191455,5
1138763,5
1364796,0
1299499,0
1361259,0
1144630,1
1252758,2
1297977,1
1340327,1
1311289,0
1247259,0
1235323,3
1178117,0
1352743,0
1309456,13
1105760,2
1254254,4
1084251,1
1123653,3
1206591,0
1089484,4
1233453,0
1187392,1
1149412,0
1255899,2
1207634,1
1322408,11
1066702,0
1339987,1
1375329,0
1096566,1
1278478,0
1134015,1
1255749,0
1109263,7
1253475,2
1050671,0
1412868,1
1229188,0
1273920,2
1222087,0
1077201,0
1060957,0
1072527,0
1094507,0
1237753,1
1240328,4
1206338,4
1218332,0
1293771,0
1186865,0
1389947,0
1051536,0
1413438,0
1211747,0
1186075,3
1304501,18
1235153,0
1199935,0
1202528,0
1120364,0
1406557,0
1253133,1
1164613,4
1412993,1
1098792,0
1086827,1
1409511,0
1206958,1
1103772,1
1221459,19
1270364,0
1157323,3
1085417,0
1149832,1
1403604,0
1334016,0
1288311,1
1374196,1
1070839,0
1089395,0
1364234,0
1317013,1
1389737,0
1112720,75
1341068,1
1095572,0
1236023,0
1076579,0
1246697,0
1295910,1
1337072,0
1193069,4
1395911,0
1365458,0
1341480,0
1308392,4
1070681,0
1170549,7
1254278,0
1348716,2
1080262,3
1187164,1
1280766,2
1225543,0
1085401,1
1172699,1
1352939,0
1371807,1
1111836,0
1300369,0
1320513,1
1227185,0
1290430,0
1286824,0
1269119,2
1115439,3
1392334,0
1413630,1
1388564,0
1109938,1
1306242,0
1120181,8
1170384,6
1220495,20
1107819,1
1219990,15
1098145,4
1092530,0
1079596,0
1286587,2
1408648,3
1241390,1
1281579,6
1108680,1
1074619,0
1150928,0
1318155,0
1065109,0
1204359,0
1301914,3
1255568,1
1193691,1
1119931,0
1240541,1
1360991,1
1075848,0
1169961,1
1254871,6
1069898,0
1382342,0
1163638,0
1061696,0
1050850,0
1186199,1
1074978,0
1071626,1
1350116,1
1138436,2
1150357,0
1398615,0
1354589,0
1153010,0
1332308,15
1256221,27
1272965,3
1101181,0
1124097,2
1284538,0
1349504,0
1128595,1
1133329,2
1068791,0
1413219,0
1384225,0
1157477,13
1072495,0
1088080,5
1371811,0
1270472,2
1136237,1
1167425,0
1363319,1
1134446,5
1335484,6
1253300,0
1191586,1
1291766,6
1114279,5
1406793,1
1350875,1
1191301,4
1343975,0
1298698,0
1158244,2
1251168,7
1053573,2
1116266,3
1299009,2
1259532,1
1173166,3
1210658,0
1306352,0
1090983,1
1069515,0
1193784,3
1209164,1
1247892,0
1272081,2
1135162,5
1345433,0
1270588,0
1266888,18
1168198,2
1275423,0
1228004,0
1315662,0
1170191,7
