id,error_count
1287937,4
1325382,23
1342694,0
1293184,11
1354667,0
1127783,3
1194032,0
1246770,22
1330026,1
1201223,0
1109857,0
1357622,1
1203004,0
1374420,1
1158764,0
1377954,0
1212850,10
1307723,0
1316412,0
1390034,0
1329324,1
1145302,0
1282936,0
1396224,0
1280842,0
1084644,3
1361744,0
1328048,2
1411814,1
1122591,13
1262768,6
1128961,0
1069281,0
1233920,3
1159746,6
1407161,0
1072112,3
1215854,0
1234889,0
1346509,3
1387505,0
1062417,0
1298982,26
1408509,0
1114448,12
1135727,1
1131505,4
1209011,1
1205639,0
1308396,5
1245902,14
1195675,9
1184353,1
1375086,0
1213679,1
1151257,4
1093421,5
1051617,0
1173775,4
1125476,2
1300776,8
1174287,0
1294319,1
1395210,4
1216788,0
1307329,1
1160473,3
1065703,0
1200004,28
1250737,1
1159062,0
1355142,0
1137743,1
1181305,2
1190385,1
1203102,0
1269624,1
1114904,2
1107554,3
1150194,2
1163931,5
1146917,2
1093366,9
1182236,4
1382912,0
1114216,0
1062325,0
1346825,0
1172484,6
1317980,0
1364609,0
1113742,0
1143823,0
1323889,0
1089949,0
1194096,0
1145737,7
1097691,2
1123690,0
1363917,0
1239823,2
1188071,0
1372370,0
1217878,5
1117051,10
1367032,0
1051378,0
1274737,0
1334039,0
1316782,7
1140992,0
1249433,3
1379652,1
1095149,0
1091754,2
1091499,2
1182971,0
1151886,0
1166814,9
1368947,0
1381075,0
1054793,0
1147590,12
1406999,0
1397079,0
1305124,0
1288467,1
1394995,0
1122147,2
1225145,1
1361367,0
1174158,3
1373836,0
1061701,3
1343664,0
1245959,0
1271569,0
1161825,5
1122432,1
1124730,1
1328994,2
1226359,9
1242357,10
1319301,0
1394540,0
1175641,0
1059491,0
1056636,0
1091832,0
1330511,1
1314361,4
1096094,0
1118696,3
1150856,4
1141159,1
1100906,1
1177208,1
1209556,2
1056879,0
1215938,0
1080526,0
1072657,0
1326114,0
1209086,3
1216439,0
1394258,2
1141381,4
1157609,1
1254560,7
1103130,2
1050117,1
1173862,6
1115967,1
1268714,0
1180072,0
1164542,0
1366444,0
1294586,1
1178781,3
1215171,0
1108206,0
1394961,0
1374835,0
1072085,0
1409228,0
1137625,4
1292658,2
1375160,1
1179269,0
1346969,0
1201629,28
1313250,2
1065626,2
1103210,0
1111418,0
1345376,0
1162540,2
1336866,1
1156603,18
1159254,0
1382256,1
1058808,9
1064761,0
1054433,1
1308866,0
1097824,3
1353235,0
1370486,1
1277872,0
1091867,0
1282510,2
1131204,11
1202494,0
1147278,0
1131211,1
1269902,0
1292861,2
1200211,1
1092461,2
1176421,1
1079354,0
1068290,0
1187143,4
1054315,0
1139935,3
1094876,2
1305003,0
1075632,0
1206132,3
1144214,0
1332426,0
1057168,6
1319059,11
1137906,1
1411608,0
1243907,0
1360912,0
1348100,0
1051917,0
1235403,1
1363095,0
1324706,0
1183372,8
1283162,0
1065079,0
1219836,5
1187036,1
1159928,0
1266975,4
1366547,0
1141983,0
1229189,2
1389638,0
1272312,2
1091705,1
1184003,0
1066688,1
1191305,3
1370500,0
1303320,0
1385889,2
1055666,0
1224443,4
1050246,0
1357090,0
1268840,7
1119584,9
1110684,2
1215753,0
1131706,0
1318571,0
1277836,28
1376555,0
1394245,1
1143004,0
1106657,1
1086568,0
1316299,8
1266811,1
1366183,0
1230434,0
1112658,0
1232464,3
1195249,0
1095620,0
1163777,22
1053063,0
1305907,0
1401385,0
1169142,3
1298112,0
1276099,1
1118966,0
1324735,2
1245414,0
1096547,3
1187661,0
1234761,0
1243771,0
1225156,2
1133202,1
1401245,0
1272367,1
1404166,1
1111597,0
1066676,2
1156569,0
1331469,0
1243290,7
1408425,0
1100951,0
1325325,3
1241262,0
1318897,0
1103013,0
1370462,0
1230774,0
1388569,0
1131853,4
1126677,0
1098132,3
1232943,0
1285144,0
1300154,9
1182291,0
1328053,0
1168682,1
1402448,2
1328636,1
1335157,13
1229062,0
1078370,0
1355087,0
1089385,0
1335729,0
1146058,4
1227323,1
1220668,4
1310566,0
1120767,1
1234169,3
1331816,0
1389414,0
1346172,0
1131398,12
1099253,1
1360241,0
1374597,0
1104163,0
1119542,0
1307794,3
1418433,0
1245434,2
1386864,0
1117982,1
1254245,1
1274659,1
1187890,0
1092435,5
1211647,9
1310712,2
1085043,2
1364278,1
1247687,6
1179715,0
1111871,4
1116570,4
1381612,0
1232518,0
1080373,2
1064345,0
1199101,0
1136121,2
1119317,2
1341841,0
1159432,0
1333154,2
1085236,0
1192174,0
1372244,0
1227811,1
1110713,0
1177825,12
1137675,0
1133102,1
1352955,0
1366233,1
1398331,0
1151073,0
1175914,0
1392256,0
1242514,0
1351124,0
1332547,3
1195300,6
1053428,0
1276861,4
1260040,7
1266281,2
1344139,1
1411661,1
1305642,0
1344681,0
1185618,33
1410124,1
1328049,2
1348636,0
1162641,0
1186726,10
1256342,2
1207824,3
1281369,12
1302829,1
1397060,1
1118842,1
1379699,1
1103065,0
1276119,55
1318529,2
1412057,1
1083321,5
1301481,0
1172749,2
1183739,1
1225653,0
1417916,0
1232794,0
1325916,1
1091442,1
1208107,0
1135100,0
1386150,0
1377049,0
1338079,1
1165389,6
1184444,1
1352522,0
1287290,1
1297038,0
1229249,7
1315406,0
1330535,0
1172512,3
1179698,1
1148608,11
1220049,1
1160698,0
1099080,0
1169664,0
1059733,0
1347000,0
1062649,0
1327708,4
1417074,3
1375533,0
1216051,1
1177561,6
1093585,1
1253365,3
1401401,0
1181034,1
1048956,0
1335441,0
1318018,2
1314580,1
1266462,1
1320247,21
1048651,0
1119842,0
1058726,2
1363730,1
1306235,2
1110129,0
1245326,0
1345979,0
1129473,2
1338764,3
1064285,0
1226121,2
1056173,0
1302927,2
1107827,0
1314537,2
1202918,7
1363822,0
1151905,0
1280665,0
1057029,0
1059423,0
