id,error_count
1287937,1
1325382,21
1342694,0
1293184,10
1354667,1
1127783,3
1194032,0
1246770,9
1330026,2
1201223,0
1109857,0
1357622,1
1203004,1
1374420,1
1158764,0
1377954,0
1212850,3
1307723,1
1316412,1
1390034,0
1329324,1
1145302,0
1282936,3
1396224,0
1280842,0
1084644,2
1361744,0
1328048,0
1411814,0
1122591,12
1262768,3
1128961,1
1069281,0
1233920,0
1159746,5
1407161,0
1072112,3
1215854,0
1234889,0
1346509,1
1387505,0
1062417,0
1298982,14
1408509,1
1114448,6
1135727,1
1131505,3
1209011,2
1205639,0
1308396,12
1245902,18
1195675,7
1184353,1
1375086,0
1213679,0
1151257,4
1093421,4
1051617,0
1173775,2
1125476,3
1300776,14
1174287,1
1294319,3
1395210,1
1216788,0
1307329,94
1160473,3
1065703,0
1200004,9
1250737,0
1159062,2
1355142,0
1137743,1
1181305,2
1393538,0
1190385,0
1203102,0
1269624,0
1114904,2
1368797,1
1107554,0
1150194,2
1163931,8
1146917,1
1093366,7
1182236,5
1382912,3
1114216,0
1062325,0
1346825,0
1172484,0
1317980,0
1364609,0
1113742,0
1143823,0
1323889,0
1089949,0
1194096,0
1145737,7
1097691,1
1123690,1
1363917,0
1239823,0
1188071,0
1372370,1
1217878,2
1117051,4
1367032,0
1051378,1
1274737,1
1334039,0
1316782,15
1140992,0
1249433,2
1379652,0
1095149,0
1091754,10
1091499,2
1182971,2
1151886,1
1166814,13
1368947,0
1381075,0
1054793,0
1147590,7
1406999,0
1409694,1
1397079,0
1305124,2
1288467,1
1394995,0
1122147,4
1225145,1
1361367,0
1174158,3
1373836,1
1061701,5
1343664,0
1245959,0
1271569,0
1161825,3
1122432,0
1124730,1
1328994,0
1226359,3
1242357,10
1319301,0
1394540,0
1175641,1
1059491,0
1056636,0
1091832,0
1330511,1
1314361,4
1096094,0
1118696,4
1150856,1
1141159,1
1100906,0
1177208,0
1209556,0
1056879,3
1215938,0
1080526,0
1072657,0
1326114,0
1209086,3
1216439,0
1394258,2
1141381,1
1157609,0
1254560,6
1103130,3
1050117,0
1173862,4
1115967,2
1268714,1
1180072,0
1164542,1
1366444,0
1294586,0
1178781,4
1215171,1
1108206,0
1394961,0
1374835,1
1072085,0
1409228,0
1137625,2
1292658,1
1375160,0
1179269,1
1346969,1
1201629,12
1313250,1
1065626,0
1103210,0
1111418,0
1345376,0
1162540,1
1336866,1
1156603,15
1159254,0
1382256,0
1058808,7
1064761,0
1054433,0
1308866,0
1097824,1
1353235,0
1370486,0
1277872,1
1091867,4
1282510,1
1131204,15
1202494,0
1147278,0
1131211,1
1269902,2
1292861,2
1200211,0
1092461,6
1176421,1
1079354,0
1068290,0
1187143,7
1054315,0
1139935,2
1094876,0
1305003,0
1075632,0
1206132,0
1144214,3
1332426,3
1057168,0
1319059,13
1137906,3
1411608,0
1243907,0
1360912,0
1348100,1
1051917,3
1235403,0
1363095,0
1324706,0
1183372,4
1283162,0
1065079,1
1219836,1
1187036,0
1159928,3
1266975,2
1366547,0
1141983,6
1229189,2
1389638,0
1272312,2
1091705,0
1184003,0
1066688,0
1191305,3
1370500,0
1303320,0
1385889,0
1055666,0
1224443,0
1050246,1
1357090,0
1268840,10
1119584,9
1110684,10
1215753,1
1131706,0
1318571,0
1277836,22
1376555,2
1394245,4
1143004,5
1106657,0
1086568,1
1316299,1
1266811,0
1366183,0
1230434,1
1112658,1
1232464,10
1195249,0
1095620,1
1163777,8
1053063,1
1305907,2
1401385,0
1169142,3
1298112,0
1276099,4
1118966,4
1324735,3
1245414,1
1096547,3
1187661,0
1234761,0
1243771,1
1225156,2
1133202,1
1401245,0
1272367,0
1404166,0
1111597,0
1066676,2
1156569,0
1331469,0
1243290,6
1408425,0
1100951,0
1325325,0
1241262,0
1318897,1
1103013,1
1370462,0
1230774,0
1388569,0
1131853,0
1126677,1
1098132,8
1232943,1
1285144,0
1300154,8
1182291,0
1328053,2
1168682,1
1402448,1
1328636,1
1335157,3
1229062,2
1078370,0
1355087,0
1089385,0
1335729,0
1146058,9
1227323,0
1220668,2
1310566,1
1120767,0
1234169,5
1331816,0
1389414,0
1346172,0
1355372,0
1131398,8
1099253,2
1360241,0
1374597,1
1104163,8
1119542,0
1307794,2
1418433,1
1245434,1
1386864,0
1117982,1
1274659,4
1187890,0
1092435,4
1211647,6
1310712,0
1085043,0
1364278,0
1247687,5
1179715,0
1111871,5
1116570,3
1381612,0
1232518,0
1080373,1
1064345,0
1199101,0
1136121,1
1119317,2
1341841,0
1159432,0
1333154,1
1085236,0
1192174,1
1372244,0
1227811,0
1378936,0
1110713,0
1177825,9
1137675,0
1133102,0
1352955,0
1366233,2
1398331,0
1151073,0
1175914,1
1392256,0
1242514,0
1351124,0
1332547,7
1195300,3
1053428,0
1276861,23
1260040,9
1266281,2
1344139,2
1411661,1
1305642,5
1344681,2
1185618,14
1410124,1
1328049,1
1348636,0
1162641,0
1186726,9
1256342,0
1207824,0
1281369,4
1302829,0
1397060,0
1118842,0
1379699,2
1103065,0
1276119,12
1318529,0
1412057,1
1083321,4
1301481,0
1172749,0
1183739,1
1225653,1
1417916,0
1232794,2
1325916,0
1091442,0
1208107,0
1135100,1
1410244,0
1386150,0
1377049,0
1338079,1
1165389,2
1184444,0
1352522,1
1287290,0
1297038,0
1229249,1
1315406,0
1330535,1
1172512,5
1179698,2
1148608,4
1220049,2
1160698,6
1099080,1
1169664,0
1059733,0
1347000,0
1062649,1
1327708,7
1417074,3
1375533,2
1216051,1
1177561,3
1093585,0
1253365,1
1401401,3
1181034,0
1048956,1
1385935,0
1335441,0
1318018,1
1314580,1
1266462,0
1320247,17
1048651,0
1119842,0
1058726,3
1363730,0
1306235,3
1110129,6
1245326,0
1345979,1
1129473,2
1338764,1
1064285,0
1226121,0
1056173,0
1302927,2
1107827,0
1314537,3
1202918,7
1363822,4
1151905,1
1280665,0
1057029,1
1059423,0
1231942,1
1289798,0
1133448,4
1236970,1
1173094,0
1127619,9
1203424,2
1237659,0
1142173,0
1297079,1
1314902,1
1092430,1
1262906,0
1099054,1
1049930,0
