,human_texts,ai_texts,control_evasive,basic_evasive,advanced_evasive
mean_perplexity,513.471,22655.041,44.551,71.775,16580.687
max_perplexity,6033.521,75674.44,223.731,438.601,82635.65
quotation_count,1.845,6.85,2.08,2.705,2.702
personal_pronoun_relative,0.031,0.014,0.016,0.014,0.014
sentences_per_paragraph_std,1.735,0.826,0.489,0.528,0.508
list_item_count,0.22,0.38,0.411,0.573,0.53
polarity,0.073,0.123,0.125,0.124,0.122
passive_voice_count,1.469,2.407,1.368,1.544,1.469
uppercase_words_relative,0.025,0.017,0.013,0.016,0.015
words_per_paragraph_std,31.339,21.412,10.29,12.002,11.463
stop_word_count,128.72,184.003,104.243,102.228,99.171
discourse_marker_count,22.697,32.298,20.627,18.853,19.268
dependent_clauses_count_avg,1.165,1.647,1.531,1.338,1.33
error_count,8.401,6.014,1.929,2.276,2.454
flesch_kincaid_grade,7.075,9.854,9.583,11.305,10.981
words_per_sentence_mean,19.736,26.416,23.373,23.409,23.126
character_count,1660.819,2221.425,1357.148,1430.048,1461.936
word_count,332.191,443.622,265.509,266.718,270.807
burstiness,3.573,4.67,2.898,3.004,2.928
multi_blank_count,7.407,9.618,3.447,5.139,5.207
words_per_paragraph_mean,46.875,60.713,71.445,59.492,57.971
unique_words_per_sentence_mean,17.08,21.869,21.014,20.435,20.454
syntactic_tree_depth_mean,5.527,6.952,6.893,6.934,6.863
pos_per_sentence_mean,10.515,12.493,12.842,11.977,12.247
flesch_reading_ease,73.569,62.769,61.223,49.197,50.165
personal_pronoun_count,8.29,7.334,4.393,3.898,4.126
special_character_count,75.226,84.861,48.957,49.489,52.425
words_per_sentence_std,10.385,11.6,7.438,7.622,7.238
unique_words_relative,0.566,0.511,0.571,0.583,0.588
paragraph_count,11.358,10.301,4.8,6.581,6.614
unique_word_count,168.188,185.368,139.412,133.403,139.983
punctuation_count,37.232,40.975,27.774,27.331,28.796
llm_pred,0.917,0.844,0.753,0.928,0.888
subjectivity,0.463,0.436,0.485,0.455,0.458
sentence_bert_distance,0.919,0.961,0.939,0.943,0.947
sentences_per_paragraph_mean,2.671,2.615,3.218,2.777,2.758
unigram_entropy,6.524,6.397,6.382,6.199,6.309
sentence_count,18.637,18.297,11.854,12.283,12.491
unique_words_per_sentence_std,8.057,8.152,5.838,5.622,5.548
trigram_entropy,7.944,7.992,7.742,7.5,7.613
bigram_entropy,7.774,7.767,7.581,7.336,7.455
